kategori ['kategori', 'artikel', 'mrebawani', 'wiki', 'cathetan', 'rujukan', 'suku', 'pranala', 'panitra', 'daftar']
hurup ['aksara', 'alfabet', 'fonèm', 'abjad', 'silabik', 'konsonan', 'katakana', 'semivokal', 'akhiran', 'huruf']
ibu ['ibu', 'krajan', 'kotanipun', 'kutha', 'bapa', 'bapak', 'krajané', 'jailolo', 'provinsi', 'ibukota']
italia ['italia', 'prancis', 'jerman', 'perancis', 'venesia', 'sisilia', 'torino', 'ruslan', 'firenze', 'bologna']
balik ['bali', 'mbalik', 'lunga', 'pindhah', 'ngumbara', 'kondur', 'balik', 'pindah', 'ninggal', 'ngalih']
balik ['bali', 'mbalik', 'lunga', 'pindhah', 'ngumbara', 'kondur', 'balik', 'pindah', 'ninggal', 'ngalih']
bola ['bal', 'balan', 'kebangsaané', 'hakan', 'penyerang', 'gelandang', 'gaizka', 'gelandhang', 'salahsijiné', 'jesper']
awi ['kayu', 'pring', 'rotan', 'kayune', 'gagangé', 'klasa', 'pacul', 'garan', 'kayuné', 'mrambat']
ahir ['pungkasan', 'wiwitan', 'akir', 'wiwit', 'pungkasaning', 'awal', 'pertengahan', 'tengahan', 'nandhani', 'dasawarsa']
komputer ['komputer', 'hacker', 'macintosh', 'laptop', 'malware', 'pda', 'aplikasi', 'pamrograman', 'memori', 'konèksi']
loka ['réferènsi', 'situs', 'pranala', 'pemkab', 'resmi', 'turisme', 'rujukan', 'njaba', 'scrivia', 'kanthor']
gancang ['rikat', 'cepet', 'gampang', 'kuwat', 'efisien', 'ringkih', 'lancar', 'sithik', 'sethithik', 'dibutuhaké']
gampang ['gampang', 'angél', 'bisa', 'angèl', 'kepénak', 'murah', 'ora', 'rikat', 'kepenak', 'fleksibel']
oge ['pratélan', 'pratélaning', 'disambiguasi', 'dhaptar', 'upinet', 'cathatan', 'shirataki', 'urung', 'onsen', 'gha']
alus ['becik', 'apik', 'kandhel', 'teles', 'efisien', 'murah', 'awet', 'dhuwur', 'migunani', 'tajem']
maén ['maen', 'pemain', 'mbela', 'klub', 'maèn', 'everton', 'skuad', 'sunderland', 'tetandhingan', 'ngelatih']
bareng ['bebarengan', 'bareng', 'kolaborasi', 'gabung', 'nggabung', 'kontrak', 'barengan', 'kerja', 'duet', 'zain']
mimitina ['wiwitane', 'wiwit', 'saiki', 'mula', 'awalé', 'wiwitané', 'pisanan', 'banjur', 'mbiyen', 'amarga']
batan ['tinimbang', 'ketimbang', 'luwih', 'kurang', 'katandhing', 'rélatif', 'katimbang', 'dibandingke', 'cenderung', 'dibandhingaké']
gelombang ['gelombang', 'elektromagnetik', 'spektrum', 'radhiasi', 'inframerah', 'dipancaraké', 'èlèktromagnètik', 'foton', 'cahya', 'radiasi']
atom ['atom', 'hidrogen', 'elektron', 'neutron', 'isotop', 'magnètik', 'hélium', 'periodik', 'roncèn', 'èlèktron']
meunangkeun ['entuk', 'éntuk', 'nampa', 'ngéntukaké', 'menangaké', 'èntuk', 'dianugerahi', 'ngraih', 'nggayuh', 'ngrengkuh']
lega ['jembar', 'wiyar', 'jembaré', 'amba', 'ciut', 'ambané', 'luas', 'hektar', 'hèktar', 'ambane']
kaulinan ['dolanan', 'benthik', 'èngklèk', 'kendama', 'banggalan', 'gangsingan', 'dhakon', 'dhaman', 'nèkeran', 'dham']
garut ['garut', 'majalengka', 'bandhung', 'cimahi', 'tasikmalaya', 'purworejo', 'wanasaba', 'sukoharjo', 'purwadadi', 'cianjur']
beurat ['bobot', 'abot', 'kg', 'aboté', 'beban', 'berat', 'ènthèng', 'kilogram', 'bobote', 'kelemon']
jelema ['wong', 'manawa', 'uwong', 'wongé', 'jaré', 'kurbané', 'kuwawa', 'alesané', 'sabab', 'pantes']
ke ['selama', 'sampai', 'kemudian', 'jauh', 'sebelum', 'ia', 'dekat', 'akhirnya', 'belas', 'berangkat']
ke ['selama', 'sampai', 'kemudian', 'jauh', 'sebelum', 'ia', 'dekat', 'akhirnya', 'belas', 'berangkat']
barudak ['bocah', 'piyatu', 'diajari', 'cah', 'nakal', 'mlarat', 'kulina', 'medèni', 'yatim', 'saumuran']
komunikasi ['komunikasi', 'telekomunikasi', 'informatika', 'nirkabel', 'sèlulèr', 'transportasi', 'tèknologi', 'informasi', 'konèksi', 'navigasi']
kabéh ['kabèh', 'kabeh', 'padha', 'kabéh', 'wis', 'bisa', 'ana', 'mau', 'ora', 'kang']
gawé ['kerja', 'makarya', 'pagawéyan', 'mbina', 'ngurus', 'multilateral', 'ngelola', 'kerjané', 'nyambut', 'ngawasi']
béntang ['bintang', 'scorpio', 'regulus', 'lintang', 'supernova', 'ekliptika', 'bimasekti', 'arcturus', 'spica', 'galaksi']
iran ['iran', 'irak', 'pèrsi', 'gilan', 'mashhad', 'khorasan', 'kurdi', 'iraq', 'teheran', 'uniimog']
cianjur ['bandhung', 'lasem', 'boyalali', 'wanasaba', 'garut', 'cirebon', 'sragèn', 'kendhal', 'pemalang', 'sumberlawang']
gumantung ['gumantung', 'dhedhasar', 'variasiné', 'ngacu', 'dibédakaké', 'ngrujuk', 'béda', 'nemtokaké', 'preduli', 'didhasaraké']
bandara ['anggegana', 'mendarat', 'bandara', 'kagelincir', 'schiphol', 'changi', 'adisumarmo', 'landhas', 'pamaburan', 'airasia']
daerah ['dhaérah', 'laladan', 'daerah', 'kabupaten', 'pedalaman', 'daérah', 'dhaerah', 'cukul', 'poso', 'wewengkon']
mesir ['mesir', 'kairo', 'suriah', 'yaman', 'irak', 'yunani', 'libya', 'mésopotamia', 'firaun', 'gamal']
jarak ['jarak', 'tempuh', 'dohé', 'leté', 'jangkau', 'jaraké', 'jarakipun', 'jarake', 'karikatan', 'adoh']
kakuatan ['kakuwatan', 'kekuwatan', 'kekiyatan', 'kekuatan', 'kekarepan', 'tekad', 'kukuh', 'kamakmuran', 'perlawanan', 'taktik']
abu ['abu', 'hanifah', 'hurairah', 'sufyan', 'lahab', 'abi', 'thalib', 'ghifari', 'upik', 'zaid']
kaséhatan ['kasarasan', 'kesehatan', 'kaséhatan', 'kasehatan', 'karesikan', 'mèdhis', 'medis', 'perawatan', 'keséhatan', 'suplemen']
agung ['agung', 'masjid', 'jaksa', 'jatisobo', 'senopati', 'jamik', 'kejaksaan', 'mesjid', 'tirtayasa', 'mahkamah']
agung ['agung', 'masjid', 'jaksa', 'jatisobo', 'senopati', 'jamik', 'kejaksaan', 'mesjid', 'tirtayasa', 'mahkamah']
gerakan ['obahan', 'gerakan', 'obahing', 'perlawanan', 'gerak', 'perobahan', 'nasionalis', 'revolusioner', 'donghak', 'sikap']
kumpulan ['kumpulan', 'cerkak', 'kempalan', 'geguritané', 'puisiné', 'esai', 'carkak', 'puisi', 'antologi', 'guritan']
britania ['britania', 'inggris', 'kohandi', 'persemakmuran', 'teritori', 'mandat', 'koloni', 'prancis', 'jajahan', 'réferèndum']
dihasilkeun ['diasilaké', 'dikasilaké', 'ngasilaké', 'diasilake', 'formaldehida', 'panyerbukan', 'ngedhunaké', 'diéntuki', 'paluruhan', 'disebabaké']
hayang ['péngin', 'rumangsa', 'kekarepané', 'kuwawa', 'isin', 'dijak', 'kepéngin', 'biså', 'kesengsem', 'diajak']
hayang ['péngin', 'rumangsa', 'kekarepané', 'kuwawa', 'isin', 'dijak', 'kepéngin', 'biså', 'kesengsem', 'diajak']
bébas ['bébas', 'mbatesi', 'radhikal', 'matesi', 'partisi', 'jeron', 'bebas', 'tendhangan', 'acak', 'naraguna']
kalurahan ['kalurahan', 'kacamatan', 'kertak', 'japah', 'montallat', 'désa', 'cibingbin', 'sukaraja', 'cilincing', 'hanyar']
gregorian ['grégorius', 'kalèndher', 'wuntu', 'juliyus', 'pananggalan', 'muharram', 'kalendher', 'kalender', 'punic', 'afonso']
