kategori ['kategori', 'artikel', 'mrebawani', 'wiki', 'suku', 'cathetan', 'rujukan', 'daftar', 'kalamangsa', 'dhaptar']
maranéhanana ['sakabehané', 'kabèh', 'katrin', 'tujuané', 'dhèwé', 'sakabèhé', 'miguèl', 'sawentara', 'lakuné', 'kabéh']
hurup ['aksara', 'silabik', 'huruf', 'fonèm', 'alfabet', 'abjad', 'hurup', 'konsonan', 'pratélané', 'wianjana']
ibu ['ibu', 'krajan', 'kotanipun', 'bapa', 'kuthané', 'bapak', 'wali', 'krajané', 'kutha', 'jailolo']
italia ['italia', 'prancis', 'sisilia', 'bologna', 'tuscan', 'perancis', 'itali', 'switserlan', 'venesia', 'tuscany']
balik ['bali', 'mbalik', 'balik', 'pindhah', 'lunga', 'kondur', 'pindah', 'ngumbara', 'ninggal', 'diuripaké']
balik ['bali', 'mbalik', 'balik', 'pindhah', 'lunga', 'kondur', 'pindah', 'ngumbara', 'ninggal', 'diuripaké']
bola ['bal', 'balan', 'gelandang', 'penyerang', 'pamaén', 'gelandhang', 'hakan', 'salahsijiné', 'kebangsaané', 'bèg']
awi ['pring', 'kayu', 'kayune', 'anyam', 'penjalin', 'rotan', 'genthong', 'undak', 'pacul', 'anyaman']
ahir ['pungkasan', 'wiwitan', 'akir', 'pungkasaning', 'awal', 'wiwit', 'pertengahan', 'dasawarsa', 'tengahan', 'paruh']
komputer ['komputer', 'hacker', 'malware', 'programer', 'memori', 'aplikasi', 'macos', 'lunak', 'macintosh', 'laptop']
loka ['réferènsi', 'situs', 'pemkab', 'pranala', 'rujukan', 'njaba', 'turisme', 'resmi', 'cathétan', 'refrensi']
gancang ['rikat', 'cepet', 'gampang', 'kuwat', 'lancar', 'ringkih', 'sithik', 'sethithik', 'apik', 'endek']
gampang ['gampang', 'angél', 'angèl', 'bisa', 'kepénak', 'rikat', 'murah', 'saengga', 'kepenak', 'sahengga']
oge ['pratélaning', 'pratélan', 'dhaptar', 'disambiguasi', 'urung', 'dek', 'dhaftar', 'wiwiting', 'pira', 'upinet']
alus ['becik', 'apik', 'menarik', 'tumoto', 'kereb', 'kuat', 'awet', 'èlèk', 'kajaga', 'saengga']
maén ['maen', 'mbela', 'ngelatih', 'pemain', 'maèn', 'tanding', 'mainé', 'masia', 'senioré', 'bélani']
bareng ['bebarengan', 'bareng', 'kolaborasi', 'barengan', 'gabung', 'kontrak', 'nggabung', 'kekancan', 'lowongan', 'kerja']
mimitina ['wiwitane', 'awalé', 'wiwitané', 'mbiyen', 'saiki', 'saikine', 'mula', 'wiwit', 'pisanan', 'awit']
batan ['tinimbang', 'ketimbang', 'kurang', 'luwih', 'katandhing', 'katimbang', 'dibandingke', 'rélatif', 'cenderung', 'lewih']
gelombang ['gelombang', 'elektromagnetik', 'dipancaraké', 'spektrum', 'cahya', 'radhiasi', 'èlèktromagnètik', 'inframerah', 'foton', 'pantulan']
atom ['atom', 'isotop', 'neutron', 'elektron', 'hidrogen', 'cesium', 'periodik', 'proton', 'karoncé', 'nukleon']
meunangkeun ['entuk', 'éntuk', 'nampa', 'ngéntukaké', 'menangaké', 'ngrengkuh', 'nggayuh', 'èntuk', 'dianugerahi', 'olih']
lega ['jembar', 'wiyar', 'amba', 'jembaré', 'ciut', 'ambané', 'hèktar', 'luas', 'ngambah', 'wiyaripun']
kaulinan ['dolanan', 'benthik', 'èngklèk', 'kendama', 'dhakon', 'bengkat', 'permainan', 'layangan', 'dham', 'dhaman']
garut ['garut', 'bandhung', 'tasikmalaya', 'majalengka', 'purbalingga', 'magelang', 'salatiga', 'purworejo', 'banjarnegara', 'sukaharja']
beurat ['bobot', 'abot', 'kg', 'aboté', 'beban', 'berat', 'dedeg', 'ènthèng', 'abote', 'awratipun']
jelema ['wong', 'uwong', 'manawa', 'wongé', 'jaré', 'wargané', 'sabab', 'kurbané', 'dititèni', 'alesané']
ke ['kesembilan', 'sedurunge', 'belas', 'ke', 'jauh', 'seteruse', 'selama', 'mingka', 'popularitase', 'cyclops']
ke ['kesembilan', 'sedurunge', 'belas', 'ke', 'jauh', 'seteruse', 'selama', 'mingka', 'popularitase', 'cyclops']
barudak ['bocah', 'piyatu', 'cah', 'saumuran', 'ditujokaké', 'mlarat', 'muhadi', 'sukertå', 'dhakon', 'katujokaké']
komunikasi ['komunikasi', 'telekomunikasi', 'informatika', 'antar', 'informasi', 'transportasi', 'navigasi', 'pariundhagi', 'tèknologi', 'médhia']
kabéh ['kabèh', 'kabeh', 'kabéh', 'padha', 'sakabèhané', 'kejaba', 'sekabèhing', 'sakabèhé', 'sekabèhané', 'wis']
gawé ['kerja', 'makarya', 'pagawéyan', 'nyambut', 'ngurus', 'multilateral', 'kerjané', 'ngembangke', 'serabutan', 'nggagas']
béntang ['bintang', 'lintang', 'scorpio', 'supernova', 'regulus', 'bimasekti', 'zodiak', 'galaksi', 'spica', 'arcturus']
iran ['iran', 'gilan', 'irak', 'persia', 'pèrsi', 'mashhad', 'teheran', 'khorasan', 'kurdi', 'azerbaijan']
cianjur ['bandhung', 'kendhal', 'garut', 'sukaharja', 'cirebon', 'lasem', 'rembang', 'loano', 'dewek', 'babadan']
gumantung ['gumantung', 'dhedhasar', 'variasiné', 'ngrujuk', 'béda', 'manéka', 'beda', 'preduli', 'ngacu', 'dijumbuhaké']
bandara ['anggegana', 'bandara', 'mendarat', 'changi', 'kagelincir', 'adisumarmo', 'landhas', 'schiphol', 'bandhar', 'pamaburan']
daerah ['dhaérah', 'daerah', 'daérah', 'laladan', 'kabupaten', 'pedalaman', 'daèrah', 'dhaerah', 'nduwe', 'wilayah']
mesir ['mesir', 'kairo', 'firaun', 'babilonia', 'suriah', 'mumi', 'libya', 'romawi', 'yaman', 'yunani']
jarak ['jarak', 'tempuh', 'jangkau', 'jaraké', 'dohé', 'leté', 'adoh', 'jarakipun', 'jarake', 'astronomis']
kakuatan ['kakuwatan', 'kekuwatan', 'kekiyatan', 'kekuatan', 'kekuwatane', 'ambisi', 'tekad', 'ngédab', 'kakuatan', 'kukuh']
abu ['abu', 'hanifah', 'lahab', 'upik', 'simbel', 'hurairah', 'thalib', 'sufyan', 'faraj', 'abi']
kaséhatan ['kasarasan', 'kaséhatan', 'kesehatan', 'kasehatan', 'karesikan', 'keséhatan', 'perawatan', 'kawarasan', 'medis', 'leladenan']
agung ['agung', 'jatisobo', 'masjid', 'jaksa', 'jeksa', 'saguru', 'setyabudi', 'manonjaya', 'penuntut', 'mesjid']
agung ['agung', 'jatisobo', 'masjid', 'jaksa', 'jeksa', 'saguru', 'setyabudi', 'manonjaya', 'penuntut', 'mesjid']
gerakan ['obahan', 'gerakan', 'obahing', 'gerak', 'perobahan', 'perlawanan', 'donghak', 'aksi', 'kamanunggalan', 'jurus']
kumpulan ['kumpulan', 'kempalan', 'cerkak', 'puisiné', 'antologi', 'geguritané', 'puisi', 'esai', 'carkak', 'musikalisasi']
britania ['britania', 'inggris', 'kohandi', 'raya', 'mandat', 'koloni', 'brexit', 'skotlandia', 'rookworst', 'irlandia']
dihasilkeun ['diasilaké', 'dikasilaké', 'ngasilaké', 'diasilake', 'diéntuki', 'dikasilake', 'digawé', 'panyerbukan', 'diklumpukaké', 'wujud']
hayang ['péngin', 'kepéngin', 'rumangsa', 'biså', 'kesengsem', 'gelem', 'pengen', 'kekarepané', 'betah', 'pengin']
hayang ['péngin', 'kepéngin', 'rumangsa', 'biså', 'kesengsem', 'gelem', 'pengen', 'kekarepané', 'betah', 'pengin']
bébas ['bébas', 'bebas', 'jeron', 'tinarbuka', 'mbatesi', 'winates', 'prinsipé', 'hambatan', 'radhikal', 'matesi']
kalurahan ['kalurahan', 'kacamatan', 'kertak', 'japah', 'désa', 'mendawai', 'rorotan', 'tamban', 'cibeureum', 'montallat']
gregorian ['grégorius', 'kalèndher', 'wuntu', 'masanipun', 'kalendher', 'hitung', 'juliyus', 'aztec', 'julius', 'grégoriyus']
