kategori ['mu', 'swasta', 'bim', 'kepulisian', 'kejaksaan', 'pandheganipun', 'humas', 'kemasarakatan', 'balikpapan', 'kulliyatul']
atikan ['wujudipun', 'sanesipun', 'bentukipun', 'saged', 'jinisipun', 'dipunangge', 'padatanipun', 'dipunjagi', 'peksi', 'limrahipun']
atikan ['wujudipun', 'sanesipun', 'bentukipun', 'saged', 'jinisipun', 'dipunangge', 'padatanipun', 'dipunjagi', 'peksi', 'limrahipun']
bari ['kuping', 'untuné', 'pethèl', 'untune', 'dipitaya', 'sikilé', 'pétruk', 'pawakané', 'lengené', 'irunge']
maranéhanana ['kuskus', 'hèrbivor', 'garangan', 'pamangsa', 'hylobates', 'karnivora', 'bilou', 'gegremet', 'siamang', 'sebaran']
hurup ['sedheng', 'arktik', 'keadaan', 'diukur', 'diamati', 'cuaca', 'pamanasan', 'antarlintang', 'atmosfer', 'klimatologi']
ibu ['bundesliga', 'lyga', 'persebi', 'calcio', 'fiorentina', 'sampdoria', 'pirma', 'torino', 'fk', 'serie']
italia ['nbc', 'berlangganan', 'groovia', 'ditayangkan', 'penggemar', 'antv', 'telkomvision', 'berlatar', 'penayangan', 'abc']
balik ['anggrèk', 'anggrék', 'jejeg', 'wité', 'nggantung', 'gagangé', 'pangé', 'epifit', 'lengené', 'wuluné']
balik ['anggrèk', 'anggrék', 'jejeg', 'wité', 'nggantung', 'gagangé', 'pangé', 'epifit', 'lengené', 'wuluné']
bola ['ceriwis', 'reeve', 'idiyappam', 'capulet', 'tế', 'devils', 'paradise', 'selebconcert', 'lone', 'dufan']
awi ['mahabharata', 'pedhalangan', 'citraksa', 'pewayangan', 'ugrasena', 'citraksi', 'yudhistira', 'sudamala', 'pawayangan', 'ramayana']
ahir ['generasi', 'wuluné', 'koinobori', 'luwih', 'cawet', 'poros', 'sempit', 'kabin', 'lemu', 'endhase']
komputer ['pasulayan', 'nagara', 'kadhaulatan', 'wewengkonipun', 'perdamaian', 'kabijakan', 'perpecahan', 'monarki', 'entitas', 'rezim']
loka ['konfederasi', 'deputi', 'menko', 'komisioner', 'agum', 'goiás', 'aparatur', 'wasit', 'angguta', 'esdm']
gancang ['sajabaning', 'lelayaran', 'bangsané', 'surasané', 'pariundhagi', 'panguwasané', 'rékan', 'nèk', 'kalumrahan', 'kéné']
gampang ['dedagangan', 'lelayaran', 'panguwasan', 'tumindaké', 'saindhengé', 'prahu', 'panguwasané', 'bangsané', 'lakuné', 'pariundhagi']
oge ['penegak', 'gugusdepan', 'racana', 'pandega', 'raimuna', 'ékan', 'dhaérahé', 'kwartir', 'morfèm', 'tingkatan']
alus ['lélé', 'diingoni', 'panganané', 'gurami', 'kéwan', 'lelayaran', 'gulma', 'reregedan', 'cucut', 'pacul']
maén ['valsassina', 'sextantis', 'pizzo', 'treviso', 'sulmona', 'smurfs', 'brianza', 'piran', 'fragneto', 'tartufo']
bareng ['tumo', 'ekiben', 'ndas', 'boyoz', 'eretmochelys', 'frontata', 'lobo', 'dompet', 'pagoda', 'pohong']
mimitina ['atis', 'sempit', 'sadawané', 'ambane', 'panggone', 'sejuk', 'lèrèng', 'pedalaman', 'semenanjung', 'kabut']
batan ['gaweyan', 'kerajinan', 'digunakakè', 'fèsyen', 'gunakake', 'prahu', 'tèkstil', 'mèbel', 'niru', 'kaperluan']
gelombang ['karakter', 'pepadhan', 'alfabèt', 'intuisi', 'tembung', 'ngacu', 'ungkapan', 'dhoktrin', 'grafem', 'abstrak']
atom ['dibutuhaké', 'diperlokaké', 'mbuktèkaké', 'ngukur', 'ngétung', 'ngontrol', 'nggampangaké', 'mesthèkaké', 'nganalisis', 'nglebokaké']
meunangkeun ['seragam', 'pigura', 'kanopi', 'pengilon', 'slider', 'kerah', 'lobi', 'lokèt', 'aréa', 'kebukak']
lega ['pelopor', 'pariundhagi', 'tèknologi', 'balap', 'gladhiator', 'lelayaran', 'budaya', 'mobil', 'dhisiplin', 'téori']
kaulinan ['teritori', 'pratalawimba', 'kasambung', 'disambung', 'kapedhot', 'dependensi', 'sistem', 'corvi', 'ngetutké', 'ceceg']
garut ['andalan', 'kelurahan', 'tradhisional', 'khas', 'misuwur', 'ngampin', 'dimadegake', 'welahan', 'prumpung', 'dukuh']
beurat ['piranti', 'nggampangaké', 'luku', 'dibutuhaké', 'gegaman', 'kalemahan', 'kapreluan', 'dandan', 'pirantos', 'mangsané']
jelema ['selan', 'tartemtu', 'dhampak', 'pemangsa', 'spèsiès', 'kabisan', 'niu', 'herbisida', 'biotik', 'kèwan']
ke ['lemu', 'bingung', 'isin', 'kepenak', 'cenderung', 'kliwat', 'ramping', 'wetenge', 'dirasakake', 'gering']
ke ['lemu', 'bingung', 'isin', 'kepenak', 'cenderung', 'kliwat', 'ramping', 'wetenge', 'dirasakake', 'gering']
barudak ['ericsson', 'pencu', 'sony', 'ricikan', 'wilah', 'graji', 'instrumèn', 'pethèl', 'nabuhé', 'wilahé']
komunikasi ['dhémokrasi', 'imperialisme', 'kuminisme', 'sosialisme', 'solidaritas', 'protes', 'demokratis', 'liberalisme', 'integrasi', 'kapitalisme']
kabéh ['asu', 'spèsiès', 'predator', 'bèda', 'prilaku', 'pamangsa', 'kéwan', 'ajag', 'swiwiné', 'kèwan']
gawé ['makkah', 'tinarbuka', 'ningali', 'pagoda', 'awrat', 'tuwahipun', 'aréa', 'nglilingi', 'sedaya', 'pangunjung']
béntang ['diamati', 'penyayang', 'dipahami', 'cyclocephala', 'bunglon', 'katentu', 'ingonané', 'mblokir', 'ngarujuk', 'musataké']
iran ['melawan', 'membuat', 'dibuat', 'setelah', 'keduanya', 'mengatakan', 'menggunakan', 'mendapatkan', 'mudah', 'akhirnya']
cianjur ['pusaté', 'saiki', 'misuwur', 'pakebonan', 'pusat', 'biyene', 'punjeré', 'ing', 'mligi', 'kaloka']
gumantung ['mirunggan', 'ruangan', 'ruwang', 'dinamis', 'statis', 'aspèk', 'asipat', 'tujuwan', 'mumpangat', 'pamahaman']
bandara ['limburg', 'venlo', 'gelderland', 'gelsenkirchen', 'jerman', 'roosendaal', 'zgorzelec', 'friesland', 'erfurt', 'psv']
daerah ['dhalang', 'kulina', 'kolintang', 'micara', 'kaprigelan', 'panutur', 'jamee', 'wasis', 'basane', 'nari']
mesir ['lebaran', 'ramai', 'terlarang', 'pengen', 'jarene', 'pantang', 'akhirnya', 'puncake', 'kerana', 'sepotong']
jarak ['nganggep', 'dianggep', 'gedhé', 'golongané', 'basané', 'ngarani', 'ngeklaim', 'siji', 'wong', 'intiné']
kakuatan ['urip', 'prilaku', 'cumbana', 'taksonomi', 'panguripane', 'heterotrof', 'sèksual', 'dilakokake', 'kepriye', 'pakulinan']
abu ['bijian', 'panganan', 'bergizi', 'biasane', 'didhahar', 'mangan', 'delé', 'liyane', 'jèngkol', 'dirasakake']
kaséhatan ['ageman', 'kasejahteraan', 'kaprajuritan', 'kanggé', 'kawajiban', 'ngraketaken', 'kasatriyan', 'pirantos', 'ancasipun', 'kanisthan']
agung ['tandha', 'mabuk', 'tandhané', 'kerana', 'maturnuwun', 'sedotan', 'muntah', 'nemplekake', 'teken', 'petik']
agung ['tandha', 'mabuk', 'tandhané', 'kerana', 'maturnuwun', 'sedotan', 'muntah', 'nemplekake', 'teken', 'petik']
gerakan ['bayangan', 'sesuatu', 'perkutut', 'buat', 'paningal', 'perasaan', 'akar', 'ilusi', 'pesan', 'berbagi']
kumpulan ['uang', 'mata', 'kasat', 'pencaharian', 'cendera', 'iboe', 'tipuan', 'pambayaran', 'doea', 'tabungan']
britania ['pdi', 'konseré', 'suasana', 'konser', 'tetap', 'terlupakan', 'demo', 'dilan', 'sctv', 'liputan']
dihasilkeun ['angkudan', 'kakbah', 'aswad', 'lelayaran', 'wewangunan', 'pasrawungan', 'dedagangan', 'dedonga', 'lawang', 'sasana']
hayang ['biyasa', 'luwing', 'lumrahé', 'jangkrik', 'ènthèng', 'racaké', 'kèwan', 'jinisé', 'saèmper', 'nokturnal']
hayang ['biyasa', 'luwing', 'lumrahé', 'jangkrik', 'ènthèng', 'racaké', 'kèwan', 'jinisé', 'saèmper', 'nokturnal']
bébas ['kawajiban', 'mbina', 'nyurung', 'sinkronisasi', 'kamampuan', 'percepatan', 'tugasé', 'isyarat', 'kaseimbangan', 'nangani']
kalurahan ['jujugan', 'lukis', 'baturadèn', 'keroncong', 'baturradèn', 'éndahing', 'plesiran', 'omben', 'disediani', 'wanawisata']
gregorian ['individu', 'antarane', 'sawise', 'kasebut', 'sadurunge', 'sabanjure', 'liyane', 'triple', 'dheweke', 'porsi']
