kategori ['swasta', 'mu', 'kemasarakatan', 'atas', 'bim', 'danamon', 'darussalam', 'min', 'ipi', 'letakipun']
bari ['kuping', 'dipitaya', 'untune', 'sikilé', 'pethèl', 'irunge', 'mripat', 'lafazh', 'pétruk', 'tlalé']
maranéhanana ['kuskus', 'bajing', 'hèrbivor', 'karnivora', 'anoa', 'sebaran', 'garangan', 'megafauna', 'mburu', 'cures']
hurup ['sedheng', 'arktik', 'siklon', 'cuaca', 'udan', 'tropis', 'iklim', 'padhangé', 'mm', 'gedhené']
ibu ['bundesliga', 'persebi', 'bonek', 'pemaine', 'categoria', 'lyga', 'calcio', 'markase', 'persib', 'fatkhullo']
italia ['groovia', 'berlatar', 'piknik', 'melbourne', 'penggemar', 'mull', 'nbc', 'messina', 'kepulauan', 'berlangganan']
balik ['anggrèk', 'jejeg', 'anggrék', 'thukul', 'wité', 'nggantung', 'kelek', 'epifit', 'dendrobium', 'merpati']
balik ['anggrèk', 'jejeg', 'anggrék', 'thukul', 'wité', 'nggantung', 'kelek', 'epifit', 'dendrobium', 'merpati']
bola ['diantrekake', 'dufan', 'idiyappam', 'adégan', 'sarangan', 'gumul', 'devils', 'komidi', 'kaew', 'reeve']
awi ['sae', 'mahabharata', 'ramayana', 'pewayangan', 'yudhistira', 'ngobahaken', 'ugrasena', 'citraksi', 'citraksa', 'sudamala']
ahir ['generasi', 'koinobori', 'poros', 'cawet', 'sofa', 'garis', 'kabin', 'génerasi', 'mangisor', 'wulu']
komputer ['pasulayan', 'nagara', 'nagarantara', 'perjanjèn', 'perpecahan', 'perdamaian', 'wewengkon', 'èkspansi', 'finansial', 'région']
loka ['konfederasi', 'goiás', 'fifa', 'deputi', 'fisioterapis', 'kartiko', 'wasit', 'regu', 'badhan', 'brasil']
gancang ['sajabaning', 'pariundhagi', 'kéné', 'saanané', 'bangsané', 'déné', 'kaanggep', 'samono', 'panguwasané', 'lelayaran']
gampang ['dedagangan', 'lelayaran', 'saindhengé', 'pariundhagi', 'kagunané', 'mliginé', 'bangsané', 'prahu', 'tetanèn', 'kalawan']
oge ['penegak', 'gugusdepan', 'racana', 'pandega', 'raimuna', 'dhaérahé', 'ékan', 'kwartir', 'minang', 'pranata']
alus ['lélé', 'gurami', 'diingoni', 'loh', 'minangkan', 'mancing', 'iketé', 'ngluku', 'tirani', 'jinawi']
maén ['valsassina', 'pizzo', 'treviso', 'independencia', 'dharatané', 'moriyama', 'sextantis', 'brianza', 'dolomites', 'matera']
bareng ['boyoz', 'ekiben', 'dompet', 'pagoda', 'gembel', 'gémbél', 'ji', 'kabu', 'binh', 'tumo']
mimitina ['atis', 'sempit', 'sadawané', 'ambane', 'usum', 'semenanjung', 'jeju', 'sejuk', 'kan', 'gersang']
batan ['gaweyan', 'kerajinan', 'mèbel', 'tèkstil', 'couture', 'rajut', 'gunakake', 'mbathik', 'ngrujuk', 'alutsista']
gelombang ['karakter', 'ngewakili', 'kosa', 'intuisi', 'gagasan', 'muncul', 'tembung', 'kosakata', 'alfabet', 'watak']
atom ['dibutuhaké', 'diperlokaké', 'nglebokaké', 'ngukur', 'ngangkud', 'ngidentifikasi', 'manfaataké', 'mesthèkaké', 'ngontrol', 'ngendheg']
meunangkeun ['kebukak', 'lobi', 'lenggahan', 'glamor', 'pengilon', 'permadani', 'aréal', 'seragam', 'kanopi', 'lokèt']
lega ['pelopor', 'pariundhagi', 'tèknologi', 'inovator', 'mobil', 'panjelajah', 'modérn', 'budaya', 'jagat', 'génerasi']
kaulinan ['pratalawimba', 'kapedhot', 'sundik', 'ujung', 'ceceg', 'bujur', 'bayer', 'katulistiwa', 'kasambung', 'kabel']
garut ['andalan', 'dimadegake', 'tradhisional', 'kelurahan', 'kas', 'khas', 'sanjabane', 'pangkalan', 'keunikan', 'serbaguna']
beurat ['piranti', 'luku', 'kalemahan', 'nggaru', 'nambang', 'pawon', 'dandan', 'pirantos', 'dibutuhaké', 'ngolah']
jelema ['selan', 'niu', 'alutsista', 'sélan', 'tolak', 'mangrove', 'dhampak', 'spèsiès', 'tartemtu', 'luru']
ke ['lemu', 'rascals', 'ramping', 'kepenak', 'kliwat', 'cenderung', 'dibandingke', 'bingung', 'sepertiga', 'wetenge']
ke ['lemu', 'rascals', 'ramping', 'kepenak', 'kliwat', 'cenderung', 'dibandingke', 'bingung', 'sepertiga', 'wetenge']
barudak ['ericsson', 'sony', 'piksel', 'gsm', 'ricikan', 'nokia', 'sangtu', 'motorola', 'pencu', 'graji']
komunikasi ['dhémokrasi', 'solidaritas', 'imperialisme', 'liberalisme', 'kuminisme', 'sosialisme', 'perpecahan', 'demokratis', 'migrasi', 'kapitalisme']
kabéh ['asu', 'bèda', 'spèsiès', 'pelacak', 'digolongake', 'dijaga', 'predator', 'ajag', 'ngalang', 'panggona']
gawé ['makkah', 'tinarbuka', 'pagoda', 'nglilingi', 'angkor', 'nglambangaken', 'minh', 'ningali', 'kafilah', 'pangunjung']
béntang ['diamati', 'mblokir', 'penyayang', 'komunisme', 'kemurnian', 'monoponik', 'ngramut', 'dilaporké', 'alfanumerik', 'syahira']
iran ['melawan', 'membuat', 'terbuka', 'keduanya', 'mudah', 'dibuat', 'mengatakan', 'kebanyakan', 'memutuskan', 'itu']
cianjur ['pusaté', 'pusat', 'taco', 'saiki', 'kaloka', 'sintok', 'misuwur', 'permukiman', 'biyèn', 'agraris']
gumantung ['mirunggan', 'ruwang', 'ondol', 'ruangan', 'sebutan', 'génerasi', 'tèknologi', 'kolèksi', 'kontur', 'kanggonan']
bandara ['limburg', 'gelderland', 'friesland', 'flevoland', 'zgorzelec', 'rheden', 'erfurt', 'amstelveen', 'rotterdam', 'görlitz']
daerah ['kolintang', 'logat', 'dhalang', 'kulina', 'micanten', 'basane', 'sekak', 'jamee', 'wasis', 'oktaf']
mesir ['lebaran', 'terlarang', 'keemasan', 'jarene', 'ramai', 'baru', 'puncake', 'pantang', 'idul', 'persiapan']
jarak ['nganggep', 'dianggep', 'bédha', 'ngarani', 'dudu', 'tinimbang', 'migunakaké', 'golongané', 'populèr', 'vérsi']
kakuatan ['urip', 'cumbana', 'pamburu', 'kepriye', 'tanam', 'mbeburu', 'seppuku', 'taksonomi', 'uripé', 'panguripane']
abu ['bijian', 'ngimbu', 'pelet', 'sujebi', 'mangan', 'nekakake', 'bergizi', 'puffed', 'lauk', 'didhahar']
kaséhatan ['ageman', 'kaprajuritan', 'pirantos', 'sarta', 'kasejahteraan', 'sakral', 'saperlu', 'jejibahan', 'lelabetan', 'lintu']
agung ['tandha', 'impiné', 'nemplekake', 'petik', 'dimanfaatke', 'bedo', 'astamiwane', 'mabuk', 'maturnuwun', 'teken']
agung ['tandha', 'impiné', 'nemplekake', 'petik', 'dimanfaatke', 'bedo', 'astamiwane', 'mabuk', 'maturnuwun', 'teken']
gerakan ['bayangan', 'perkutut', 'akar', 'teki', 'pesan', 'paningal', 'ciptaan', 'gerhana', 'sesuatu', 'ilusi']
kumpulan ['uang', 'mata', 'kasat', 'pencaharian', 'cendera', 'iboe', 'tipuan', 'ulih', 'semata', 'doea']
britania ['pdi', 'stasiun', 'konser', 'demo', 'puan', 'konseré', 'suasana', 'metro', 'hanura', 'pemungutan']
dihasilkeun ['angkudan', 'dituju', 'lawang', 'pasrawungan', 'wewangunan', 'stratégis', 'kakbah', 'kabangun', 'lelayaran', 'peziarah']
hayang ['biyasa', 'jangkrik', 'lumrahé', 'luwing', 'racaké', 'ènthèng', 'dawané', 'lumrah', 'nggambarké', 'cecek']
hayang ['biyasa', 'jangkrik', 'lumrahé', 'luwing', 'racaké', 'ènthèng', 'dawané', 'lumrah', 'nggambarké', 'cecek']
bébas ['korupsi', 'padinan', 'mbudi', 'darurat', 'kalengkapan', 'percepatan', 'isyarat', 'diawasi', 'akuarium', 'angkudan']
kalurahan ['jujugan', 'lukis', 'plesiran', 'baturadèn', 'warung', 'baturradèn', 'nyicipi', 'wanawisata', 'omben', 'pendaki']
gregorian ['individu', 'antarane', 'kasebut', 'sabanjure', 'lengkap', 'porsi', 'ngenalake', 'sawise', 'mengko', 'gaon']
