astéroid ['qg', 'qj', 'qn', 'qk', 'qy', 'xq', 'ql', 'xz', 'jx', 'amor']
atom ['atom', 'atomnya', 'nukleon', 'deuteron', 'egoyan', 'diatomik', 'neutron', 'isotop', 'subkulit', 'molekul']
meunangkeun ['memperoleh', 'mendapatkan', 'meraih', 'mendapat', 'menerima', 'diperolehnya', 'peroleh', 'diraihnya', 'memenangkan', 'memeroleh']
lega ['luas', 'luasnya', 'luasan', 'seluas', 'sempit', 'daratannya', 'terluas', 'keseluruhannya', 'keseluruhan', 'mil²']
negeri ['negeri', 'booi', 'tihulale', 'sekdilu', 'aboru', 'rataisd', 'henalatu', 'kabauw', 'hualoy', 'pgakp']
kalénder ['kalender', 'gregorian', 'lunisolar', 'penanggalan', 'suryacandra', 'minguo', 'kalendar', 'kabisat', 'ganzhi', 'jieqi']
beuki ['kian', 'semakin', 'makin', 'seiring', 'laun', 'bertambah', 'kelamaan', 'terus', 'pamor', 'tergerus']
mawa ['membawa', 'dibawanya', 'mengantarkan', 'dibawa', 'membawanya', 'mengirimkan', 'memandu', 'mendatangkan', 'mengantar', 'mengangkut']
bali ['bali', 'makepung', 'yogeeta', 'madura', 'sanur', 'gilimanuk', 'ubud', 'jimbaran', 'uluwatu', 'ntt']
gelar ['gelar', 'gelarnya', 'kehormatan', 'doktorandus', 'doktorat', 'predikat', 'doktor', 'pangkat', 'lisensiat', 'dokterandes']
kaulinan ['permainan', 'pemainan', 'backgammon', 'congklak', 'mancala', 'permaianan', 'gim', 'gasing', 'mallogo', 'permaian']
jelema ['orang', 'pemiliknya', 'pelakunya', 'tagar', 'seseorang', 'pekemah', 'katanya', 'korbannya', 'sebab', 'saja']
angkutan ['angkutan', 'transportasi', 'trasportasi', 'tranportasi', 'pengangkutan', 'kenderaan', 'kendaraan', 'moda', 'feri', 'organda']
barudak ['lansia', 'anak', 'miskin', 'tua', 'woolpit', 'autis', 'tunanetra', 'diperuntukkan', 'pengasuhan', 'berkebutuhan']
méi ['maret', 'januari', 'februari', 'desember', 'oktober', 'agustus', 'april', 'september', 'juli', 'juni']
eusina ['berisi', 'berisikan', 'isinya', 'memuat', 'isi', 'dituangkan', 'termuat', 'dibuatnya', 'menyajikan', 'tercantum']
coklat ['coklat', 'cokelat', 'kecoklatan', 'kehitaman', 'bungalan', 'kemerahan', 'keunguan', 'kecokelatan', 'kekuningan', 'keperak']
coklat ['coklat', 'cokelat', 'kecoklatan', 'kehitaman', 'bungalan', 'kemerahan', 'keunguan', 'kecokelatan', 'kekuningan', 'keperak']
panginget ['carnera', 'diplomat', 'duta', 'politikus', 'hazikaron', 'suzetta', 'bobroknya', 'konjen', 'christodoulides', 'zvili']
pati ['terlalu', 'berresiko', 'sangatlah', 'cukup', 'begitu', 'sangat', 'terbukti', 'terduga', 'kalkriese', 'kesalehannya']
fisika ['fisika', 'mekanika', 'matematika', 'elektrodinamika', 'astronomi', 'astrofisika', 'astronautika', 'kuantum', 'tektonofisika', 'magnetostatika']
jaya ['jaya', 'sematu', 'tiom', 'dipasena', 'kadungan', 'wulanga', 'langgara', 'tanujate', 'jananiya', 'biandoga']
garis ['garis', 'garisnya', 'lintangnya', 'generatrix', 'hiperbidang', 'loksodrom', 'titik', 'katulistiwa', 'ekuator', 'berserenjang']
patempuran ['pertempuran', 'pengepungan', 'ancre', 'ekspedisi', 'passchendaele', 'peperangan', 'lobositz', 'perang', 'invasi', 'mollwitz']
gumantung ['tergantung', 'bergantung', 'bervariasi', 'beradasarkan', 'mempengaruhi', 'disesuaikan', 'terlepas', 'menentukan', 'beda', 'sesuaikan']
malah ['bahkan', 'banyak', 'meski', 'meskipun', 'sesekali', 'walaupun', 'sekali', 'jarang', 'namun', 'karena']
malah ['bahkan', 'banyak', 'meski', 'meskipun', 'sesekali', 'walaupun', 'sekali', 'jarang', 'namun', 'karena']
katilu ['ketiga', 'keempat', 'kedua', 'kelima', 'keenam', 'ketujuh', 'kedelapan', 'kesepuluh', 'pertama', 'terakhir']
ngalaman ['mengalami', 'terjadi', 'mengalamai', 'dialami', 'berlanjut', 'memudar', 'bergejolak', 'terhenti', 'timbul', 'teratasi']
bandara ['bandara', 'bandar', 'terjadwal', 'kkia', 'cgk', 'adisoemarmo', 'penerbangan', 'sheremetyevo', 'soetta', 'schipol']
daerah ['daerah', 'timue', 'didaerah', 'derah', 'daearah', 'kawasan', 'diwilayah', 'kakandepag', 'seksi', 'sambas']
logam ['logam', 'tembaga', 'besi', 'aluminium', 'almunium', 'aloi', 'refraktori', 'paduannya', 'aloy', 'zirkonium']
pamingpin ['pemimpin', 'pemimpinnya', 'reformis', 'pembangkang', 'petinggi', 'kepemimpinan', 'organisator', 'pejabat', 'penentang', 'memimpin']
campuran ['campuran', 'mapel', 'pencampuran', 'percampuran', 'pewarna', 'antargolongan', 'kaldu', 'fakultatif', 'konpa', 'bercampur']
aturan ['aturan', 'aturannya', 'ketentuan', 'peraturannya', 'peraturan', 'lotg', 'kaidah', 'norma', 'pengecualian', 'larangan']
amerika ['amerika', 'california', 'tarzana', 'serikat', 'wyoming', 'burlingame', 'kalifornia', 'turon', 'pisco', 'pasadena']
pamakéan ['penggunaan', 'penggunaannya', 'pemakaian', 'pemakaiannya', 'digunakan', 'keefektifannya', 'penggunaanya', 'pengunaan', 'kegunaan', 'menggunakan']
dihasilkeun ['dihasilkan', 'menghasilkan', 'dihasilkannya', 'diperoleh', 'didapat', 'didapatkan', 'hasilkan', 'terbentuk', 'dibuat', 'tercipta']
hayang ['ingin', 'enggan', 'berniat', 'mencoba', 'berusaha', 'justru', 'menginginkan', 'hendak', 'bertekad', 'berharap']
hayang ['ingin', 'enggan', 'berniat', 'mencoba', 'berusaha', 'justru', 'menginginkan', 'hendak', 'bertekad', 'berharap']
ngabogaan ['memiliki', 'mempunyai', 'memilki', 'mempunya', 'memilik', 'punya', 'memliki', 'memiki', 'meiliki', 'memiiki']
nyaeta ['adalah', 'yg', 'hata', 'dalah', 'merupakan', 'ama', 'adapun', 'riwayat', 'salah', 'marpodang']
maséhi ['masehi', 'sm', 'abad', 'bertarikh', 'permulaan', 'pertengahan', 'zaman', 'syaka', 'tarikh', 'berpenanggalan']
nagari ['negeri', 'daerahnya', 'daerah', 'nagari', 'penghulu', 'instansi', 'wewenangnya', 'siwole', 'mukim', 'djkn']
salasahiji ['salah', 'merupakan', 'adapun', 'utama', 'terpenting', 'sebuah', 'berikut', 'kebanggan', 'diantaranya', 'sebuha']
dipake ['dipakai', 'digunakan', 'diterapkan', 'gunakan', 'dipergunakan', 'disalahartikan', 'mempergunakan', 'dirujuk', 'dikombinasi', 'pengunaan']
