astéroid ['qg', 'qj', 'qn', 'qk', 'ql', 'xq', 'jq', 'qy', 'xz', 'yq']
kalénder ['kalender', 'gregorian', 'penanggalan', 'lunisolar', 'hijriyah', 'suryacandra', 'kabisat', 'tisyri', 'minguo', 'syaka']
beuki ['semakin', 'kian', 'makin', 'cukup', 'bertambah', 'sangat', 'terus', 'seiring', 'menyusut', 'lebih']
mawa ['membawa', 'dibawanya', 'dibawa', 'mengirimkan', 'membawanya', 'mengangkut', 'mengantarkan', 'mengirim', 'menangkap', 'menjatuhkan']
bali ['bali', 'madura', 'jawa', 'makepung', 'lampung', 'denpasar', 'bugis', 'lombok', 'yogeeta', 'gilimanuk']
gelar ['gelar', 'doktor', 'kehormatan', 'doktorat', 'gelarnya', 'doktorandus', 'lisensiat', 'pangkat', 'dokterandes', 'predikat']
kaulinan ['permainan', 'congklak', 'gasing', 'gim', 'permaianan', 'pemainan', 'egrang', 'backgammon', 'permaian', 'kendama']
jelema ['orang', 'seseorang', 'sebenarnya', 'sebab', 'bahkan', 'kalau', 'saja', 'itu', 'mungkin', 'mereka']
angkutan ['angkutan', 'transportasi', 'kendaraan', 'trasportasi', 'tranportasi', 'pengangkutan', 'feri', 'kereta', 'perhubungan', 'moda']
barudak ['anak', 'tua', 'dewasa', 'orang', 'miskin', 'lansia', 'siswa', 'remaja', 'lelaki', 'autis']
méi ['maret', 'januari', 'desember', 'februari', 'oktober', 'agustus', 'april', 'juli', 'juni', 'september']
eusina ['berisi', 'berisikan', 'isinya', 'memuat', 'isi', 'berupa', 'menyajikan', 'dituangkan', 'termuat', 'dalamnya']
coklat ['coklat', 'kecoklatan', 'keunguan', 'kecokelatan', 'kehitaman', 'kemerahan', 'cokelat', 'kekuningan', 'kusam', 'keperak']
coklat ['coklat', 'kecoklatan', 'keunguan', 'kecokelatan', 'kehitaman', 'kemerahan', 'cokelat', 'kekuningan', 'kusam', 'keperak']
panginget ['diplomat', 'politikus', 'duta', 'kelahiran', 'presiden', 'aktivis', 'peringatan', 'mantan', 'ekonom', 'musikus']
pati ['terlalu', 'sangat', 'cukup', 'begitu', 'sangatlah', 'terbukti', 'amat', 'diketahui', 'karena', 'agak']
fisika ['fisika', 'matematika', 'mekanika', 'astronomi', 'kimia', 'elektrodinamika', 'astrofisika', 'fisikawan', 'kuantum', 'biologi']
jaya ['jaya', 'sematu', 'kadungan', 'mulya', 'wulanga', 'tiom', 'dipasena', 'langgara', 'jonggon', 'kesuma']
garis ['garis', 'titik', 'garisnya', 'lintangnya', 'ekuator', 'generatrix', 'hiperbidang', 'sumbu', 'katulistiwa', 'lingkaran']
patempuran ['pertempuran', 'pengepungan', 'perang', 'invasi', 'peperangan', 'pasukan', 'bertempur', 'ekspedisi', 'penyerbuan', 'serangan']
gumantung ['tergantung', 'bergantung', 'bervariasi', 'mempengaruhi', 'disesuaikan', 'berbeda', 'sesuai', 'menentukan', 'terlepas', 'memengaruhi']
malah ['bahkan', 'banyak', 'karena', 'namun', 'meskipun', 'tetapi', 'walaupun', 'meski', 'jarang', 'memang']
malah ['bahkan', 'banyak', 'karena', 'namun', 'meskipun', 'tetapi', 'walaupun', 'meski', 'jarang', 'memang']
katilu ['ketiga', 'kedua', 'keempat', 'kelima', 'keenam', 'terakhir', 'pertama', 'ketujuh', 'kesepuluh', 'kedelapan']
ngalaman ['mengalami', 'terjadi', 'menyebabkan', 'dialami', 'menderita', 'mengakibatkan', 'akibat', 'mengalamai', 'berlangsung', 'terjadinya']
bandara ['bandara', 'bandar', 'penerbangan', 'penumpang', 'terminal', 'kkia', 'cgk', 'adisoemarmo', 'terjadwal', 'soetta']
daerah ['daerah', 'kawasan', 'kabupaten', 'wilayah', 'didaerah', 'jawa', 'kalimantan', 'sumatra', 'aceh', 'diwilayah']
logam ['logam', 'tembaga', 'besi', 'aluminium', 'aloi', 'zirkonium', 'refraktori', 'aloy', 'almunium', 'trivalen']
pamingpin ['pemimpin', 'pemimpinnya', 'pejabat', 'nasionalis', 'pembangkang', 'kepemimpinan', 'memimpin', 'oposisi', 'politisi', 'reformis']
campuran ['campuran', 'pewarna', 'rasemat', 'kaldu', 'dicampur', 'bercampur', 'didistilasi', 'bubuk', 'gondorukem', 'cuka']
aturan ['aturan', 'ketentuan', 'peraturan', 'aturannya', 'peraturannya', 'hukum', 'regulasi', 'pedoman', 'lotg', 'berlaku']
amerika ['amerika', 'california', 'serikat', 'meksiko', 'australia', 'kanada', 'kalifornia', 'afrika', 'massachusetts', 'chili']
pamakéan ['penggunaan', 'pemakaian', 'penggunaannya', 'digunakan', 'menggunakan', 'pemakaiannya', 'konvensional', 'kegunaan', 'dipakai', 'atau']
dihasilkeun ['dihasilkan', 'menghasilkan', 'dihasilkannya', 'diperoleh', 'dibuat', 'terbentuk', 'didapat', 'timbul', 'didapatkan', 'disebabkan']
hayang ['ingin', 'enggan', 'justru', 'mau', 'berniat', 'berusaha', 'tapi', 'mencoba', 'merasa', 'harus']
hayang ['ingin', 'enggan', 'justru', 'mau', 'berniat', 'berusaha', 'tapi', 'mencoba', 'merasa', 'harus']
ngabogaan ['memiliki', 'mempunyai', 'memilki', 'punya', 'memilik', 'mempunya', 'memliki', 'mencerminkan', 'merupakan', 'mengandung']
nyaeta ['adalah', 'merupakan', 'salah', 'yg', 'satunya', 'adapun', 'paling', 'satu', 'yaitu', 'hata']
maséhi ['masehi', 'sm', 'abad', 'pertengahan', 'permulaan', 'zaman', 'bertarikh', 'awal', 'hijriah', 'syaka']
nagari ['negeri', 'daerah', 'pemerintahan', 'daerahnya', 'lembaga', 'masyarakat', 'adat', 'penghulu', 'nagari', 'pejabat']
salasahiji ['merupakan', 'salah', 'satu', 'terpenting', 'berikut', 'utama', 'diantaranya', 'unik', 'adalah', 'adapun']
dipake ['dipakai', 'digunakan', 'diterapkan', 'dipergunakan', 'gunakan', 'menggunakan', 'mempergunakan', 'disalahartikan', 'dirujuk', 'memakai']
